epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,299.202,1.07756,0.52969,1.04743,0.81027,0.67843,0.70926,0.503,1.14783,1.27267,1.14603,0.0004754,0.0004754,0.0004754
79,302.935,1.08954,0.54535,1.06406,0.82032,0.68235,0.72937,0.53215,1.15342,1.28605,1.13856,0.0004556,0.0004556,0.0004556
80,306.648,1.05918,0.52461,1.05549,0.82074,0.67059,0.73747,0.54807,1.11868,1.2799,1.12997,0.0004358,0.0004358,0.0004358
81,310.363,1.05337,0.54338,1.05727,0.78989,0.67451,0.7317,0.53263,1.1231,1.22839,1.12441,0.000416,0.000416,0.000416
82,314.099,1.0369,0.5251,1.03471,0.84118,0.65882,0.75733,0.55295,1.14199,1.28275,1.13423,0.0003962,0.0003962,0.0003962
83,317.821,1.0474,0.51889,1.03594,0.84588,0.66275,0.76529,0.55662,1.12959,1.22472,1.12292,0.0003764,0.0003764,0.0003764
84,321.578,1.03302,0.53104,1.05089,0.85878,0.66773,0.73992,0.54005,1.12241,1.27103,1.12142,0.0003566,0.0003566,0.0003566
85,325.627,1.0403,0.53906,1.05159,0.82159,0.66667,0.73352,0.54108,1.11098,1.27642,1.12493,0.0003368,0.0003368,0.0003368
86,329.602,0.96622,0.5,1.00316,0.84298,0.65264,0.73825,0.55286,1.10988,1.32718,1.12049,0.000317,0.000317,0.000317
87,333.601,1.01377,0.49819,1.03149,0.79371,0.6639,0.74701,0.55699,1.08435,1.25267,1.11079,0.0002972,0.0002972,0.0002972
88,337.588,0.993,0.50701,1.02964,0.8409,0.66329,0.75,0.55842,1.06111,1.24845,1.0997,0.0002774,0.0002774,0.0002774
89,341.572,0.95782,0.50296,1.02051,0.842,0.66878,0.74931,0.55117,1.08095,1.26578,1.11619,0.0002576,0.0002576,0.0002576
